item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
DOL1,b,b,b,b,b,,b,b,b,b,b,b,b,b,c,b,c,b,b,b,b,,c,,,b,b,c,b,b,b,c,b,b,b,b,,b,,b,b,b,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
DOL2,a,c,a,a,a,,a,c,a,a,a,a,a,a,c,c,b,c,c,a,a,,a,,,a,a,a,a,b,a,c,a,a,a,a,b,c,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a
DOL3,b,b,c,b,b,,b,c,b,b,b,b,a,b,b,c,c,a,b,b,b,,b,,,b,b,a,b,c,a,b,b,b,b,b,c,b,,b,b,b,c,,c,b,,b,b,b,c,b,c,b,b,c,c,c,c,b,b,b,b,b,b,b,b,b,c,b,b,c,b,c,c,b,b,b,b,b
DOL4,b,a,b,a,a,,a,a,b,b,b,b,b,b,a,b,a,a,b,c,c,,a,,,b,b,a,a,a,a,b,b,b,b,b,c,a,,b,b,b,b,,b,b,,b,a,a,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b
DOL5,a,b,b,a,b,,b,c,b,b,b,a,b,a,b,b,b,b,a,a,a,,a,,,a,a,a,b,a,b,a,a,a,a,b,c,b,,a,b,a,a,,b,b,,b,b,a,a,b,a,a,b,b,a,a,b,b,b,b,b,b,a,a,a,b,a,c,a,a,b,a,a,a,a,b,b,b
DOL6,b,b,b,,b,,b,b,b,b,b,b,b,b,a,b,a,b,b,b,b,,b,,,b,b,a,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
DOL7,a,a,a,a,a,,a,a,a,b,a,a,a,a,a,a,a,b,a,a,a,,a,,,a,a,a,a,a,b,b,a,a,a,a,b,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a
DOL8,d,b,a,d,d,,d,a,a,d,d,d,c,c,d,a,c,b,a,d,d,,a,,,d,d,a,d,a,a,a,d,d,a,d,b,a,,d,d,d,d,,d,d,,d,d,a,d,d,d,d,a,d,d,d,d,d,d,d,d,d,d,c,a,a,d,d,d,d,a,d,d,a,d,c,d,a
DOL9,c,c,c,c,c,,c,d,c,a,a,c,c,c,c,c,a,c,c,c,c,,c,,,c,c,b,c,c,a,c,d,c,c,c,c,c,,c,a,c,a,,c,a,,c,c,d,c,a,a,c,c,a,c,c,c,c,c,c,c,d,c,b,a,c,d,b,a,c,c,c,c,c,a,c,c,c
FOR1,d,d,e,d,d,,d,d,d,c,c,c,d,d,c,c,d,c,d,d,d,,c,,,d,d,b,d,d,a,d,d,d,d,d,d,c,,d,d,d,d,,d,d,,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d
FOR2,a,a,b,a,a,,c,a,c,b,a,b,a,c,a,a,a,a,b,a,a,,b,,,a,a,a,a,a,b,a,a,a,a,a,b,a,,c,a,c,a,,c,a,,a,a,a,a,a,a,a,c,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,c,a,a,a,b,a,a,a
FOR3,b,b,b,b,b,,b,a,b,b,b,b,a,b,b,b,c,a,b,a,a,,b,,,b,b,a,b,d,b,b,b,b,b,b,b,b,,b,b,a,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,a
