item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
FP8,a,,a,a,a,,a,b,a,a,a,a,a,a,a,a,b,b,a,a,a,,a,,,a,a,b,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a
FP9,b,,b,b,b,,b,a,b,b,b,b,b,b,b,b,a,a,b,b,b,,a,,,b,a,b,b,a,b,a,b,b,b,b,a,b,,b,b,b,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
FP10,a,,a,a,a,,a,,a,b,a,a,a,a,a,b,a,a,a,a,a,,a,,,a,a,b,a,a,a,a,a,a,,a,a,b,,a,a,b,a,,a,a,,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FP11,a,a,d,a,a,,b,c,a,a,a,a,d,a,d,d,a,c,d,a,a,,b,,,a,a,a,a,b,a,a,a,a,d,d,a,d,,a,a,a,a,,a,a,,a,a,a,a,a,e,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a
FP12,b,b,d,b,b,,b,c,b,a,b,b,b,a,b,a,a,c,d,b,b,,b,,,a,b,b,b,b,a,b,b,a,d,d,b,d,,b,a,b,b,,d,b,,b,b,b,b,b,c,b,a,c,d,a,b,b,b,b,b,b,b,b,b,d,b,b,c,b,b,b,b,b,b,b,a,a
FR1,c,b,a,d,d,,d,a,d,b,d,d,c,d,d,b,d,c,d,d,d,,c,,,b,a,c,a,b,b,a,b,d,d,a,a,d,,d,d,a,d,,d,d,,d,d,d,d,d,a,d,b,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,a,d,d,d,d,d,d,d,d,d
FR2,b,b,,b,b,,b,b,b,d,b,b,b,b,b,b,a,a,a,b,b,,c,,,b,b,e,b,d,c,b,b,b,b,b,a,d,,b,b,b,b,,d,b,,b,b,d,b,b,e,b,a,b,b,b,b,b,d,b,b,b,b,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b
FR3,c,c,d,c,c,,b,b,c,c,c,d,c,c,b,d,c,a,c,c,c,,b,,,c,c,a,c,d,a,c,b,c,b,b,a,d,,c,c,c,c,,c,c,,c,c,c,b,b,b,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,d,c,c,c,c,c,c
FR4,a,,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,,a,,,a,a,b,a,a,a,a,b,b,a,a,a,b,,a,a,a,a,,a,a,,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a
FR5,b,b,b,b,b,,b,b,a,a,b,a,a,a,b,a,b,a,b,a,a,,a,,,b,b,b,a,b,b,b,b,a,a,a,,b,,b,a,b,b,,b,b,,a,b,b,a,a,b,a,a,b,b,a,a,b,b,b,a,b,b,b,a,a,a,a,b,a,b,b,a,a,a,a,a,a
FR6,a,a,a,a,a,,a,c,a,a,a,a,a,a,a,d,d,b,a,c,c,,c,,,a,a,a,a,a,c,a,a,a,a,a,a,a,,a,a,a,a,,c,a,,a,a,a,a,c,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a
FR7,b,b,b,b,b,,a,a,b,b,b,b,a,a,a,a,b,a,a,b,b,,a,,,a,a,a,b,a,a,b,b,b,b,b,b,a,,b,a,b,b,,b,b,,b,b,b,b,a,b,b,a,b,b,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b
FR8,b,b,b,b,b,,a,a,b,b,b,b,c,b,a,b,a,a,b,b,b,,a,,,b,a,b,b,a,b,a,b,b,b,b,b,a,,b,b,b,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b
FR9,a,a,a,a,a,,b,a,a,a,a,a,b,a,a,a,b,b,b,a,a,,b,,,a,a,b,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FR10,b,b,b,b,b,,b,a,b,a,b,b,c,b,b,a,a,a,a,b,b,,a,,,a,b,a,b,a,a,b,b,b,a,b,b,a,,b,b,b,b,,b,b,,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,a,b
FR11,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,,b,,,b,b,d,b,b,b,b,b,b,b,b,c,b,,b,b,b,b,,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,d,b,b
FC1,a,a,a,a,a,,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,,a,,,a,b,b,a,a,a,b,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,a,a
FC2,a,a,c,b,b,,,a,a,c,a,c,a,a,b,a,b,a,c,a,a,,a,,,a,a,a,b,a,a,a,b,b,a,b,a,a,,c,a,a,b,,b,a,,a,a,a,a,a,a,a,a,a,b,a,c,c,b,a,,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a
FC3,a,a,b,b,b,,a,b,b,b,b,b,a,a,b,a,a,b,a,b,b,,a,,,b,a,a,b,a,a,a,a,b,b,b,b,a,,b,a,b,b,,b,b,,a,b,b,b,b,a,a,b,a,a,a,b,a,b,b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,b,a,b,a
FC4,b,,c,b,b,,b,b,b,c,a,a,c,b,b,a,a,b,b,b,b,,a,,,b,b,a,b,a,a,a,b,b,a,b,a,c,,b,a,b,b,,b,a,,b,b,b,a,b,b,a,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,a,b,b,c,b,b,a,a,b,b,a
FC5,c,c,c,d,d,,d,c,c,c,c,c,c,c,d,c,c,b,d,c,c,,a,,,c,c,b,c,c,d,c,d,c,c,c,b,d,,c,c,c,c,,c,c,,c,c,c,d,c,c,c,d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
FC6,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,,a,,,a,b,a,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FC7,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,,,a,a,a,a,a,b,a,a,b,a,a,b,a,,a,a,a,a,,a,a,,a,b,a,a,a,a,a,a,a,b,a,a,a,a,a,c,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a
FC8,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,,a,,,a,a,b,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a
FA1,c,c,d,c,c,,d,c,d,c,c,c,b,c,c,e,c,c,c,b,b,,c,,,a,b,a,c,d,a,c,c,d,c,a,a,d,,c,c,c,c,,d,c,,b,c,d,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c
FA2,c,c,b,c,c,,d,c,c,d,c,c,c,c,b,e,c,c,d,b,b,,c,,,c,a,a,c,d,a,c,c,c,b,b,a,b,,c,c,c,c,,c,c,,c,c,c,c,c,b,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,d,c,c,c,c,c
FA3,a,a,a,a,a,,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,,a,,,a,a,b,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a
FA4,b,a,a,b,b,,a,a,a,a,b,a,a,a,a,a,a,a,a,c,c,,a,,,a,b,a,a,a,a,a,b,a,a,b,b,a,,c,b,b,a,,a,b,,a,a,b,a,a,b,a,b,a,b,a,b,b,b,a,a,b,a,a,b,a,b,a,b,a,c,b,b,b,b,b,a,b
FA5,a,,a,a,a,,a,d,a,a,a,a,a,a,a,a,a,b,a,a,a,,b,,,a,d,b,a,a,b,a,a,a,a,a,d,b,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FA6,b,b,b,b,b,,b,c,b,b,b,b,d,b,b,b,a,c,b,b,b,,c,,,b,d,b,b,d,a,b,b,b,b,b,a,a,,b,c,b,b,,b,b,,b,b,b,b,b,c,b,c,a,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b
FA7,a,b,b,b,b,,d,c,b,b,b,b,a,b,b,a,c,b,a,d,d,,c,,,b,d,b,b,a,a,b,b,b,b,b,a,a,,b,b,b,b,,b,b,,b,b,b,b,b,c,b,c,b,b,b,b,c,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,b,b,c
FFP1,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,,,a,a,b,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FFP2,a,a,a,a,a,,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,,a,,,a,a,b,a,b,b,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FFP3,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,b,,,b,a,a,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,,b,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
FFP4,a,a,a,a,a,,a,a,a,a,b,a,b,a,a,b,a,a,a,a,a,,a,,,a,a,a,a,b,a,a,a,a,a,b,b,a,,a,a,a,b,,b,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a
FFP5,b,b,a,a,a,,a,b,b,a,b,b,a,b,a,b,a,a,a,b,b,,a,,,b,a,a,a,a,a,a,a,a,b,b,a,a,,a,a,a,b,,a,a,,b,a,a,a,a,a,a,b,a,a,a,c,a,a,a,a,a,a,b,a,b,a,b,a,a,b,b,a,b,b,b,a,a
FFP6,a,a,a,a,a,,a,b,a,a,b,a,a,a,a,a,a,b,a,a,a,,a,,,b,a,a,a,a,a,a,a,a,a,b,a,a,,a,a,a,a,,b,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a
ES1,a,a,a,a,a,,a,a,a,b,a,a,a,a,a,b,a,a,b,c,c,,a,,,a,a,a,a,a,b,b,a,a,a,a,b,b,,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b
ES2,a,a,a,a,a,,a,a,a,a,a,a,b,a,a,a,a,b,a,a,a,,a,,,a,a,b,a,a,a,a,a,a,a,b,b,a,,b,a,a,b,a,a,a,,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,b,b,a,a,a,a,b,a,b,a,a
ES3,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,,,a,a,b,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
ES4,a,a,a,a,a,,a,a,b,a,a,b,a,a,a,a,a,a,b,a,a,,a,,,a,a,a,a,a,b,a,a,a,a,a,a,b,,a,a,a,b,a,a,a,,b,a,b,b,a,b,a,a,b,a,a,a,a,a,a,b,a,a,b,a,a,a,a,b,a,a,a,a,a,a,b,a,a
ES5,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,,b,,,b,a,b,b,a,a,b,b,b,b,a,a,b,,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
ES6,b,a,a,a,a,,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,,a,,,a,a,b,a,a,a,a,a,a,a,b,a,a,,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
ES7,a,a,a,a,a,,a,a,a,b,a,b,a,a,a,a,a,a,a,a,a,,a,,,a,a,a,a,a,a,a,a,a,a,b,a,a,,b,a,a,b,a,a,a,,a,a,a,a,b,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
